年份,情景,上下限制度,是否模型默认,有关入息下限_港元每月,有关入息上限_港元每月,上下限生效说明,雇员强制费率,雇主强制费率,强积金覆盖率,劳动年龄人口_万人,劳动参与率,就业率,缴费人数_万人,平均有关入息_港元每月,年强制性供款_亿港元,自愿性供款占比,年自愿性供款_亿港元,年总供款_亿港元,取消对冲生效日,取消对冲处理,校准锚点说明,真实或假设,来源或假设
2047,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,426.2796,0.5685,0.97,243.9798,28500.0,834.41,0.26,293.17,1127.58,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2048,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,422.5199,0.567,0.97,241.1899,38000.0,1099.83,0.26,386.43,1486.25,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2048,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,422.5199,0.567,0.97,241.1899,28500.0,824.87,0.26,289.82,1114.69,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2049,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,418.5658,0.5655,0.97,238.3007,38000.0,1086.65,0.26,381.8,1468.45,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2049,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,418.5658,0.5655,0.97,238.3007,28500.0,814.99,0.26,286.35,1101.34,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2050,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,414.4165,0.564,0.97,235.3125,38000.0,1073.03,0.26,377.01,1450.03,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2050,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,414.4165,0.564,0.97,235.3125,28500.0,804.77,0.26,282.76,1087.53,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2051,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,410.0714,0.5625,0.97,232.226,38000.0,1058.95,0.26,372.06,1431.01,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2051,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,410.0714,0.5625,0.97,232.226,28500.0,794.21,0.26,279.05,1073.26,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2052,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,406.127,0.561,0.97,229.3789,38000.0,1045.97,0.26,367.5,1413.47,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2052,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,406.127,0.561,0.97,229.3789,28500.0,784.48,0.26,275.63,1060.1,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2053,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,402.0252,0.5595,0.97,226.4552,38000.0,1032.64,0.26,362.82,1395.45,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2053,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,402.0252,0.5595,0.97,226.4552,28500.0,774.48,0.26,272.11,1046.59,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2054,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,397.7616,0.558,0.97,223.4528,38000.0,1018.94,0.26,358.01,1376.95,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2054,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,397.7616,0.558,0.97,223.4528,28500.0,764.21,0.26,268.51,1032.71,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2055,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,393.3313,0.5565,0.97,220.37,38000.0,1004.89,0.26,353.07,1357.96,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2055,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,393.3313,0.5565,0.97,220.37,28500.0,753.67,0.26,264.8,1018.47,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2056,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,388.7292,0.555,0.97,217.2046,38000.0,990.45,0.26,348.0,1338.45,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2056,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,388.7292,0.555,0.97,217.2046,28500.0,742.84,0.26,261.0,1003.84,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
